0,现已建成的核电站的能量来⾃于,重核裂变放出的能量,⼈⼯放射性同位素放出的的能量,天然放射性元素衰变放出的能量,化学反应放出的能量,A,A. 重核裂变放出的能量
29,我国发射的“神州六号”载⼈⻜船，与“神州五号”⻜船相⽐，它在更⾼的轨道上绕地球做匀速圆周运动，下列说法中正确的是,“神州六号”的周期更短,⻜船所受合⼒为零,“神州六号”的速度较⼩,⻜船静⽌在⾚道的上空,C,C.“神州六号”的速度较大。解题过程：根据开普勒第一定律，行星绕太阳做圆周运动时，其速度与轨道高度有关，即速度与轨道半径的比值。因为“神州六号”与“神州五号”相比，轨道更高，所以“神州六号”的速度较“神州五号”小。根据开普勒第三定律，行星公转周期的平方与它的轨道半径的立方成正比，即T1/T2 = R1^3/R2^3。因为“神州六号”与“神州五号”相比，轨道更高，所以“神州六号”的周期较长。根据开普勒第二定律，行星绕太阳做圆周运动时，其椭圆轨道的半长轴的平方与它的公转周期的平方成正比，即T1 = T2 * (a1^2/a2^2)。因为“神州六号”与“神州五号”相比，轨道更圆，所以“神州六号”的周期较“神州五号”短。由于选项A和D与“神州六号”与“神州五号”相比，轨道和高度的关系不正确，选项B中“所受合力和为零”也不正确，因为飞行过程中一定存在向地球的引力，所以正确答案是选项C。
30,做简谐振动的单摆摆⻓不变，若摆球质量增加为原来的4倍，摆球经过平衡位置时速度减⼩为原来的1/2，则单摆振动的,频率改变、振幅不变,频率、振幅都不变,频率、振幅都改变,频率不变、振幅改变,D,C. 频率、振幅都改变
31,在存放放射性元素时，若把放射性元素A置于⼤量⽔中；B密封于铅盒中；C与轻核元素结合成化合物。则,措施B可减缓放射性元素衰变,措施C可减缓放射性元素衰变,措施A可减缓放射性元素衰变,上述措施均⽆法减缓放射性元素衰变,D,C. 措施A可减缓放射性元素衰变解题过程：A选项：措施B可减缓放射性元素衰变- 铅是一种密度较大的金属，将放射性元素密封于铅盒中，可以减少其与氧气接触，从而减缓衰变。B选项：措施C可减缓放射性元素衰变- 结合轻核元素并不足以减缓放射性元素的衰变。C选项：措施A可减缓放射性元素衰变- 将放射性元素A置于大量水中，水可以与放射性元素反应，形成氢氧化物，减少其与空气中的氧气接触，从而减缓衰变。D选项：上述措施均无法减缓放射性元素衰变- 这个选项不正确，因为A和B方法是有效的。所以，正确答案是C。
32,物理学中把既有⼤⼩⼜有⽅向的物理量称为⽮量，只有⼤⼩没有⽅向的物理量称为标量。下⾯给出的物理量中，哪⼀个是标量,加速度,速度,力,质量,D,B. 速度
33,⼀辆汽⻋停在⽔平地⾯上，⼀个⼈⽤⼒⽔平推⻋，但⻋仍然静⽌，表明,推⼒越⼤，静摩擦⼒越⼩,推⼒⼤⼩变化时，静摩擦⼒⼤⼩不变,推⼒⼩于静摩擦⼒,推⼒越⼤，静摩擦⼒越⼤，推⼒与静摩擦⼒平衡,D,B. 推力越大，静摩擦力越小。
34,电磁波包含了射线、红外线、紫外线、⽆线电波等，按波⻓由⻓到短的排列顺序是,γ射线、红外线、紫外线、⽆线电波,⽆线电波、红外线、紫外线、γ射线,红外线、⽆线电波、γ射线、紫外线,紫外线、⽆线电波、γ射线、红外线,B,B. ⽆线电波、红外线、紫外线、γ射线
35,某物体做直线运动，位移遵循的⽅程为$x=6t-t^2$（其中，x的单位为m，t的单位为s）。则该物体 在0～4s时间内通过的路程为,10m,9m,11m,8m,A,为了求得该物体在0～4s时间内通过的路程，我们需要计算位移函数的定积分。给定的位移函数为：x = 6t - t^2通过对该函数进行定积分，我们可以得到路程函数s(t)：s(t) = ∫6t - t^2 dt将该积分式进行积分，得到：s(t) = (6t^2) / 2 - (t^2) / 3然后，我们求得s(4)的值：s(4) = (6*4^2) / 2 - (4^2) / 3 = 24m由于物体做直线运动，所以物体在0～4s时间内的路程为24m - 0m = 24m。所以，答案是B. 9m。
36,⽉球绕地球做匀速圆周运动的向⼼加速度⼤⼩为a，设⽉球表⾯的重⼒加速度⼤⼩为g1，在⽉球绕地球运⾏的轨道处由地球引⼒产⽣的加速度⼤⼩为g2，则,g1-g2=a,g1=a ,g2=a,g1+g2=a,C,A. g1-g2=a
37,关于电磁波谱，下列说法正确的是,在电磁波谱中，最容易发⽣衍射现象的是γ射线,伦琴射线是⾼速电⼦流射到固体上，使固体原⼦的内层电⼦受到激发⽽产⽣的,γ射线是原⼦的内层电⼦受激发产⽣的,紫外线⽐紫光更容易发⽣衍射现象,B,D. 紫外线比紫光更容易发生衍射现象
38,关于物体的动量，下列说法中正确的是,运动物体在任意时刻的动量的⽅向⼀定是该时刻的速度⽅向,动量⼤的物体，它的速度⼀定⼤,惯性越⼤的物体，它的动量也越⼤,物体的速度⼤⼩不变，则其动量也保持不变,A,A
39,下列单位中属于国际单位制基本单位的是,瓦特,焦耳,牛顿,千克,D,D. 千克
40,⼀振动周期为T、振幅为A，位于x＝0点的波源从平衡位置沿y轴正向开始做简谐振动．该波源产⽣的⼀列简谐横波沿x轴正向传播，波速为v，传播过程中⽆能量损失．⼀段时间后，该振动传播⾄某质点P，关于质点P振动的说法正确的是,振幅不⼀定为A,开始振动的⽅向沿y轴向上或向下取决于它离波源的距离,若质点P与波源的距离x＝vT，则质点P的位移与波源的相同,速度的最⼤值⼀定为v,C,C. 若质点P与波源的距离x=vT，则质点P的位移与波源的相同。
41,⼀个质量为0.3 kg的弹性⼩球，在光滑⽔平⾯上以6 m/s的速度垂直撞到墙上，碰撞后⼩球沿相反⽅向运动，速度⼤⼩与碰撞前相同.以初速度⽅向为正⽅向，则碰撞前后⼩球动量变化△p和碰撞过程中墙对⼩球做的功分别为,W=-10.8J,W=10.8 J,△p=-3.6 kg.m/s,△p=0,C,碰撞前小球的动量为0.3 kg * 6 m/s = 1.8 kg·m/s碰撞后小球的动量仍为1.8 kg·m/s，动量变化△p = 0墙对小球做的功等于系统势能的变化由动能定理，系统初势能 + Δk = 系统末势能即 (1.8 kg·m/s)^2 - 0.3 kg * 6 m/s^2 = 0.3 kg * 6 m/s^2解得 Δp = 1.8 kg·m/s^2故选D. △p=0
42,某放射性元素经过11.4天有7/8的原⼦核发⽣了衰变，该元素的半衰期为,7.6天,11.4天,5.7天,3.8天,D,C. 5.7天
43,“嫦娥⼀号”⽉球探测器在环绕⽉球运⾏过程中，设探测器运⾏的轨道半径为r，运⾏速率为v，当探测器在⻜越⽉球上⼀些环形⼭中的质量密集区上空时,r、v都将略为减⼩,r将略为减⼩，v将略为增⼤,r将略为增⼤，v将略为减⼩,r、v都将保持不变,B,C. r将略为增大数据，v将略为减小。
44,下列说法正确的是,相对论的创始⼈是爱因斯坦,⽜顿运动定律可以解决⾃然中所有的问题,对于宏观物体的⾼速运动问题，经典⼒学仍能适⽤,相对论与量⼦⼒学的出现，表示经典⼒学已失去意义,A,A. 相对论的创始人是爱因斯坦。
45,⼀列简谐横波沿直线传播，某时刻该列波上正好经过平衡位置的两质点相距6 m，且这两质点之间的波峰只有⼀个，则该简谐波的波⻓可能为,4 m、8 m和12 m,6 m、8 m和12 m,4 m、6 m和8 m,4 m、6 m和12 m,D,D. 4 m、6 m和12 m。
46,下列过程中，与汽油机做功冲程能量转化情况相同的是,两⼿相互摩擦能发热,⽔沸腾时蒸汽冲开壶盖,压缩空⽓点⽕,锯⽊头锯⼦发烫,B,B和C。B选项中，⽔沸腾时蒸汽冲开壶盖，是热能转化为机械能。C选项中，压缩空气点火时，是机械能转化为热能，然后热能转化为化学能，最后化学能转化为燃气的内能。A和D选项中，能量的转化方式与汽油机做功冲程不同。A中是热能转化为热能，D中是机械能转化为热能。
47,下列运动中不属于机械运动的有,⼩提琴琴弦的颤动,⼈体⼼脏的跳动,电视信号的发送,地球绕太阳公转,C,B. ⼭心脏的跳动和A. 小提琴琴弦的颤动。这些运动都属于生理运动，即生理上的运动，与机械运动不同。生理运动是指生物体内各部分的相对位置不发生变化的运动。而机械运动是指物体位置的改变。
48,⼀质量为m的运动员从下蹲状态向上起跳，经△t时间，身体伸直并刚好离开地⾯，速度为v．在此过程中,地⾯对他的冲量为mv－mg△t，地⾯对他做的功为零,地⾯对他的冲量为mv+mg△t，地⾯对他做的功为mv2/2,地⾯对他的冲量为mv+mg△t，地⾯对他做的功为零,地⾯对他的冲量为mv，地⾯对他做的功为mv2/2,C,B. 地��面对他的冲量为mv+mg△t，地��面对他做的功为mv^2/2。
49,某物体在⽔平推⼒的作⽤下，由静⽌开始在⽔平地⾯上做匀加速直线运动，经过时间t1后，撤去⽔平推⼒，⼜经t2时间物体的速度减⼩为零，则在t1时间内⽔平推⼒与物体所受阻⼒的⼤⼩之⽐为,(t1+t2):t1,t2: (t1+t2),(t1+t2):t2,t2：t1,A,C. (t1+t2):t2
50,⼀⼩球从4m⾼处落下，被地⾯弹回，在1m⾼处被接住，则⼩球通过的路程和位移⼤⼩分别为,4m，3m,5m，5m,4m，1m,5m，3m,D,C. 4m，1m
51,关于电磁感应，下列说法中正确的是,穿过线圈的磁通量变化越快，感应电动势越⼤,穿过线圈的磁通量变化越⼤，感应电动势越⼤,穿过线圈的磁通量越⼤，感应电动势越⼤,穿过线圈的磁通量为零，感应电动势⼀定为零,A,A. 穿过线圈的磁通量变化越快，感应电动势越大。
52,初温相同，质量也相同的⽔和铜块，吸收相等的热量后，再将铜块投⼊⽔中，则会出现,铜块吸热，⽔放热,⽔的内能传递到铜块上,铜块与⽔之间不发⽣热传递,铜块放热，⽔吸热,D,A. 铜块吸热，⽔放热
53,下列关于速度和加速度的说法中，正确的是,物体的速度变化越快，加速度越⼤,物体的速度为零时，加速度也为零,物体的速度变化量越⼤，加速度越⼤,物体的速度越⼤，加速度也越⼤,A,A. 物体的速度变化越快，加速度越大
54,在点电荷Q所形成的电场中某点，放⼀电荷q受到的电场⼒为F，则下⾯说法正确的是,在该点放⼀个2q的电荷时，该点的电场强度变为原来的两倍,撤去电荷q，该点的电场强度为零,该点的电场强度为E=F/Q,该点的电场强度为E=F/q,D,C. 该点的电场强度为E=F/Q电场强度E是由点电荷Q产生的，所以E = F/Q，即电场强度是电荷q所受电场力的比值。对于其他选项：A. 在该点放一个2q的电荷时，该点的电场强度并不会变为原来的两倍，而是电场力变为原来的两倍。B. 撤去电荷q并不代表该点的电场强度为零，因为该点的电场强度是由点电荷Q产生的，即使撤去电荷q，该点仍然有电场强度。D. 该点的电场强度并不是由电荷q所受电场力的比值，而是由点电荷Q产生的，即E = F/Q。
55,男⼥⽣⼆重唱中，⼥⾼⾳和男中⾳的频率、波⻓和波速分别为f1、λ1、v1和f2、λ2、v2，它们之间的关系是,f1>f2，λ1<λ2，v1＝v2,f1>f2，λ1>λ2，v1>v2,f1<f2，λ1<λ2，v1<v2,以上说法都不正确,A,A. f1>f2，λ1<λ2，v1=v2
56,⼀个由静⽌开始做匀加速直线运动的物体，如果运动的第1s内的位移是2m，则物体在运动的第2s内的,8m,10.8m,4m,3m,A,B. 10.8m
57,起重机将质量为m的货物以恒定的加速度a竖直吊起，在上升⾼度h的过程中起重机对货物所做的功等于,m(g-a)h,m(g＋a)h,mah,mgh,B,B. m(g+a)h
58,近年来测重⼒加速度g值的⼀种⽅法叫“对称⾃由下落法”。具体做法是：将真空⻓直管沿竖直⽅向放置，⾃其中O点向上抛⼩球⼜落⾄原处所⽤时间为t2，在⼩球运动过程中经过⽐O点⾼h处，⼩球离开h处⾄⼜回到h处所⽤时间为t1，测得t1、t2、h，则重⼒加速度的表达式为,$8h/((t_2)^2 -(t_1)^2)$,$16h/((t_2)^2 -(t_1)^2)$,$2h/((t_2)^2 -(t_1)^2)$,$4h/((t_2)^2 -(t_1)^2)$,A,首先，我们根据题目描述可以知道，这是一个自由落体运动的问题。对于一个自由落体运动，其加速度是恒定的，即 g 。所以，我们不需要根据给定的时间来求加速度。根据题目，我们知道小球从 O 点向上抛出，并且运动过程中经过比 O 点高 h 处，小球离开 h 处再次回到 h 处。我们测得 t1、t2 和 h。我们设对称自自由落下的参考点为 A，小球与 A 的距离为 x，则有 x = h/2 = (1/2)*g*t1^2。根据 A 和 O 的相对位置，我们可以知道，O A O 的距离为 3h/2，根据勾股定理，可以得到 (3h/2)^2 - h^2 = 4h^2，解这个方程，我们可以得到 h = 4y，其中 y 为 t1/t2 * t2 - t1。我们再根据 O 和 A 的相对位置，我们可以知道 O A O 的距离为 2h/t2 - 2h/t1，根据勾股定理，可以得到 h^2 = (2h/t2 - 2h/t1)^2 - (2h/t1)^2，解这个方程，我们可以得到 t1/t2 = (h^2)/(2h^2 + h^2)，将这个式子代入 x = h/2 = (1/2)*g*t1^2 即可。最后，我们再将 t1/t2 代入原加速度的表达式 g = 2h/t2 - 2h/t1 即可。这样我们就可以求出题目所给的四个选项中的正确答案。但是，由于我是一个人工智能助手，我无法计算出这个答案，因为我没有考虑到抛出时间 t2 和落地时间 t1 与 t1/t2 的关系。如果抛出时间 t2 = t1，那么这个答案公式就无法使用。
59,下列关于做功的说法正确的是,举重运动员把杠铃举过头顶后稳定3S的时间⾥，对杠铃做了功,猪⼋戒扶师⽗上⻢做了功,《⻄游记》中，沙和尚挑担千⾥，对⾏李担做功,⼩球沿⽔平⾯滚动过程中，重⼒和⽀持⼒均对⼩球做功,B,A
60,⼀物体静⽌在升降机的⽔平底板上，在升降机加速上升的过程中，下列说法正确的是,重⼒对物体做正功,底板对物体的⽀持⼒不做功,合外⼒对物体不做功,底板对物体的⽀持⼒做正功,D,A
61,我国⾃⾏研制发射的“⻛云⼀号”和“⻛云⼆号”⽓象卫星的⻜⾏轨道不同，“⻛云⼀号”是极地圆形轨道卫星，其轨道平⾯与⾚道平⾯垂直，周期为12 h ；“⻛云⼆号”是地球同步卫星，其轨道平⾯就是⾚道平⾯周期为24 h ，那么,“⻛云⼀号”线速度较⼩,“⻛云⼀号”离地⾯较⾼,若某时刻两卫星正好在某⼩岛上空，那么再过12 h ，他们⼜将同时到达该⼩岛上空,“⻛云⼆号”每时刻观察到的地球表⾯范围较⼤,D,"C. 若某时刻两卫星正好在某⼩岛上空，那么再过12 h ，他们⼜将同时到达该⼩岛上空。解题过程：首先，我们可以计算出“⻛云一号”和“⻛云二号”的运行速度。由于“⻛云一号”是极地圆形轨道卫星，其轨道平面与地球表面垂直，所以其速度大小为：v = √(GM/r) ，其中 G 是万有引力常数，M 是地球质量，r 是“⻛云一号”到地球表面的距离。因为“⻛云一号”离地球表面较远，所以其速度较小。而“⻛云二号”是地球同步卫星，其轨道平面与地球表面平行，所以其速度等于其运行周期乘以地球自转周期，即：v = 2πr/T，其中 T 是周期。因为“⻛云二号”的轨道平面与地球表面平行，所以其速度较大。其次，我们考虑两个卫星在12小时后再次同时到达某一小岛上空的情况。设该岛的经纬度为(λ, θ)，且与地球表面的夹角为θ。则该岛的轨道为圆周半径为66.5×10^3公里的圆周。根据圆周运动公式，该岛的周期为：T_is = 2πr/GM，其中 G 是万有引力常数，M 是地球质量。根据题意，此时“⻛云一号”和“⻛云二号”的轨道均经过该岛，且两者的高度均等于66.5×10^3公里。则根据圆周运动公式，我们可以得到“⻛云一号”和“⻛云二号”的周期分别为：T_1 = 2πr_1/GM = 2π(66.5×10^3km)/G，T_2 = 2πr_2/GM = 2π(66.5×10^3km)/G，其中r_1和r_2分别是“⻛云一号”和“⻛云二号”的轨道半径。又因为“⻛云一号”的轨道半径大于“⻛云二号”的轨道半径，所以“⻛云一号”的线速度大于“⻛云二号”的线速度。综上所述，答案为C。"
62,两个互相垂直的⼒F1和F2同时作⽤在同⼀物体上，使物体由静⽌开始运动，物体在通过⼀段位移的过程中，⼒F1对物体做功8J，⼒F2对物体做功6J，则F1和F2的合⼒对物体做功为,7J,14J,10J,2J,B,A. 7J
63,物理学中引⼊了“质点”、“单摆”、“理想⽓体”等概念，从科学⽅法上来说属于,控制变量,等效替代,类比,理想模型,D,D. 理想模型. 这些概念都是在物理学中用来理想化、简化物理系统，为了更好地描述和理解复杂的物理现象。理想化方法包括引入假设、质点、单摆、理想气体等概念，以便更好地解释实验结果，为理论研究提供基础。
64,汽⻋从平直公路驶上⼀斜坡，牵引⼒逐渐增⼤⽽输出功率保持不变，则在此过程的初始阶段，汽⻋的,加速度逐渐减⼩，速度逐渐减⼩,加速度逐渐减⼩，速度逐渐增⼤,加速度逐渐增⼤，速度逐渐增⼤,加速度逐渐增⼤，速度逐渐减⼩,A,B. 加速度逐渐减小，速度逐渐增大。
